Epoch 001 || Loss: 0.7923 | Time: 19.82 | Test Dice: 0.0651 
Epoch 002 || Loss: 0.7751 | Time: 19.29 | Test Dice: 0.0651 
Epoch 003 || Loss: 0.7636 | Time: 19.29 | Test Dice: 0.0651 
Epoch 004 || Loss: 0.7536 | Time: 19.44 | Test Dice: 0.0651 
Epoch 005 || Loss: 0.7437 | Time: 19.40 | Test Dice: 0.0652 
Epoch 001 || Loss: 0.9520 | Time: 20.85 | Test Dice: 0.0651 
Epoch 002 || Loss: 0.9442 | Time: 20.26 | Test Dice: 0.0651 
Epoch 003 || Loss: 0.9396 | Time: 20.41 | Test Dice: 0.0651 
Epoch 004 || Loss: 0.9348 | Time: 20.43 | Test Dice: 0.0651 
Epoch 005 || Loss: 0.9302 | Time: 20.37 | Test Dice: 0.0651 
Epoch 001 || Loss: 0.5488 | Time: 21.30 | Test Dice: 0.0000 
Epoch 002 || Loss: 0.5406 | Time: 20.82 | Test Dice: 0.0000 
Epoch 003 || Loss: 0.5343 | Time: 20.87 | Test Dice: 0.0000 
Epoch 004 || Loss: 0.5295 | Time: 20.81 | Test Dice: 0.0000 
Epoch 005 || Loss: 0.5248 | Time: 20.83 | Test Dice: 0.0000 
Epoch 001 || Loss: 0.6582 | Time: 19.97 | Test Dice: 0.0651 
Epoch 002 || Loss: 0.6095 | Time: 19.42 | Test Dice: 0.0651 
Epoch 003 || Loss: 0.5798 | Time: 19.43 | Test Dice: 0.0651 
Epoch 004 || Loss: 0.5577 | Time: 19.59 | Test Dice: 0.0685 
Epoch 005 || Loss: 0.5435 | Time: 19.53 | Test Dice: 0.2352 
Epoch 001 || Loss: 0.9986 | Time: 22.63 | Test Dice: 0.0651 
Epoch 001 || Loss: 0.5910 | Time: 21.77 | Test Dice: 0.0000 
Epoch 002 || Loss: 0.5790 | Time: 22.64 | Test Dice: 0.0000 
Epoch 003 || Loss: 0.5718 | Time: 29.21 | Test Dice: 0.0000 
